source,target
4,0
28,3
27,13
3,22
28,21
19,18
11,5
2,11
0,23
26,5
6,11
24,26
26,23
4,2
27,6
9,1
3,15
8,11
0,7
14,24
9,19
0,16
15,16
6,13
13,28
22,12
14,8
3,8
12,20
11,0
5,23
13,3
26,0
15,9
16,8
7,5
10,22
13,21
18,5
15,18
18,14
18,23
20,8
23,13
14,10
17,9
14,19
9,14
4,27
24,14
1,12
19,27
2,20
25,22
2,29
23,6
20,19
23,15
28,11
20,28
21,27
23,24
11,4
5,18
12,24
4,29
15,4
26,13
18,9
7,9
0,25
10,26
16,21
11,25
22,9
23,8
12,26
19,13
24,9
15,6
25,8
28,25
7,2
1,16
16,5
13,9
18,2
7,11
1,25
11,27
25,26
20,5
23,1
6,15
21,13
12,10
6,24
3,7
20,23
5,4
23,19
12,19
14,7
4,15
10,3
1,0
10,12
27,28
8,24
11,20
26,12
21,6
23,3
3,0
29,19
15,20
21,15
3,9
5,6
7,25
18,25
20,25
14,18
14,9
4,17
24,4
26,1
16,0
17,29
16,9
1,20
20,0
2,28
22,6
12,5
6,19
29,21
26,22
18,27
27,5
4,19
4,28
28,13
8,10
1,4
0,6
16,2
11,15
2,12
9,27
11,24
29,5
21,1
21,10
15,24
12,7
13,27
19,3
27,16
19,12
27,25
28,24
8,21
17,24
5,22
9,20
0,26
2,23
15,8
29,7
24,20
26,17
24,29
23,9
7,22
23,18
27,0
11,1
19,14
5,24
8,23
29,0
15,10
20,6
23,2
29,18
7,15
18,15
26,28
21,14
5,8
9,6
11,3
25,2
26,3
15,3
13,15
15,12
16,11
1,22
