source,target
0,5
0,13
0,15
0,17
0,23
0,28
0,44
0,46
0,49
0,65
0,66
0,69
0,71
0,77
0,78
0,81
0,82
0,94
1,4
1,5
1,9
1,13
1,17
1,18
1,21
1,22
1,25
1,26
1,31
1,32
1,38
1,41
1,54
1,56
1,57
1,59
1,60
1,68
1,70
1,78
1,79
1,82
1,87
1,91
1,93
1,94
1,99
2,3
2,11
2,13
2,15
2,20
2,21
2,29
2,45
2,51
2,52
2,53
2,56
2,58
2,63
2,72
2,75
2,83
2,88
2,90
2,92
2,93
2,94
2,98
2,99
3,5
3,7
3,9
3,16
3,18
3,26
3,29
3,32
3,36
3,37
3,38
3,40
3,41
3,43
3,44
3,49
3,53
3,55
3,59
3,65
3,71
3,80
3,81
3,83
3,85
3,86
3,87
3,89
3,91
3,95
3,98
4,9
4,10
4,13
4,15
4,25
4,32
4,38
4,39
4,40
4,43
4,57
4,60
4,70
4,81
4,82
4,86
4,90
4,91
4,93
5,6
5,9
5,21
5,28
5,31
5,33
5,37
5,39
5,46
5,54
5,66
5,73
5,74
5,78
5,79
5,85
5,87
5,88
5,93
5,95
5,97
6,9
6,18
6,21
6,24
6,25
6,28
6,30
6,36
6,44
6,45
6,47
6,48
6,49
6,58
6,63
6,67
6,69
6,71
6,73
6,78
6,81
6,87
6,90
6,92
6,96
6,98
7,10
7,29
7,30
7,33
7,38
7,40
7,41
7,47
7,53
7,56
7,72
8,16
8,17
8,18
8,21
8,23
8,25
8,27
8,29
8,31
8,33
8,43
8,44
8,47
8,48
8,53
8,60
8,68
8,70
8,80
8,83
8,86
8,89
8,92
8,93
8,97
9,20
9,22
9,37
9,53
9,62
9,70
9,78
9,83
9,89
9,91
9,94
10,15
10,17
10,19
10,22
10,23
10,27
10,30
10,31
10,43
10,48
10,50
10,58
10,60
10,62
10,63
10,64
10,67
10,76
10,78
10,87
10,88
10,90
10,92
10,93
10,97
11,16
11,21
11,25
11,29
11,31
11,34
11,44
11,48
11,49
11,50
11,57
11,60
11,73
11,75
11,77
11,79
11,84
11,88
11,90
12,15
12,17
12,18
12,21
12,32
12,38
12,40
12,48
12,55
12,58
12,59
12,66
12,69
12,71
12,86
12,96
13,16
13,17
13,18
13,19
13,20
13,21
13,25
13,30
13,37
13,41
13,45
13,48
13,53
13,54
13,59
13,65
13,66
13,69
13,75
13,76
13,77
13,79
13,82
13,88
13,93
13,94
13,99
14,15
14,16
14,24
14,29
14,30
14,32
14,41
14,42
14,43
14,54
14,55
14,60
14,63
14,67
14,69
14,74
14,77
14,82
14,89
14,91
14,96
15,18
15,22
15,23
15,28
15,31
15,32
15,33
15,34
15,35
15,40
15,46
15,49
15,52
15,54
15,55
15,69
15,71
15,73
15,77
15,82
15,84
15,86
15,88
15,94
16,18
16,20
16,23
16,29
16,32
16,37
16,39
16,42
16,45
16,56
16,57
16,59
16,63
16,70
16,73
16,76
16,77
16,81
16,89
16,92
16,96
17,19
17,20
17,25
17,26
17,27
17,29
17,30
17,31
17,35
17,36
17,38
17,40
17,41
17,49
17,53
17,55
17,56
17,60
17,62
17,63
17,65
17,67
17,68
17,77
17,78
17,79
17,93
17,99
18,21
18,23
18,31
18,36
18,38
18,43
18,50
18,51
18,54
18,68
18,70
18,76
18,83
18,88
18,89
18,91
18,93
18,97
19,20
19,24
19,25
19,27
19,28
19,29
19,32
19,36
19,37
19,39
19,48
19,50
19,51
19,52
19,65
19,77
19,91
19,95
19,96
19,98
19,99
20,22
20,24
20,34
20,43
20,47
20,48
20,50
20,52
20,55
20,56
20,59
20,76
20,79
20,82
20,83
20,85
20,89
20,93
20,96
20,97
20,98
21,24
21,26
21,27
21,33
21,34
21,35
21,36
21,37
21,38
21,40
21,42
21,43
21,53
21,60
21,61
21,66
21,68
21,70
21,72
21,76
21,77
21,80
21,82
21,83
21,84
21,87
21,92
21,93
21,95
21,96
21,99
22,31
22,35
22,37
22,39
22,45
22,47
22,52
22,60
22,66
22,67
22,71
22,78
22,91
22,92
22,93
23,27
23,33
23,36
23,41
23,43
23,49
23,56
23,66
23,70
23,79
23,88
23,90
23,92
23,98
23,99
24,29
24,31
24,33
24,36
24,59
24,69
24,71
24,74
24,75
24,81
24,83
24,84
24,85
24,89
24,94
24,95
24,97
24,99
25,26
25,30
25,35
25,38
25,41
25,43
25,44
25,45
25,56
25,59
25,67
25,68
25,69
25,71
25,75
25,76
25,90
25,91
25,94
25,98
26,33
26,34
26,40
26,45
26,46
26,53
26,54
26,55
26,57
26,64
26,65
26,66
26,70
26,83
26,87
26,88
26,90
26,91
26,97
26,98
27,31
27,36
27,39
27,41
27,44
27,47
27,49
27,51
27,52
27,57
27,61
27,67
27,68
27,75
27,76
27,77
27,81
27,84
27,88
27,89
27,94
27,96
28,31
28,36
28,43
28,48
28,52
28,58
28,84
28,90
28,91
28,94
28,96
29,30
29,31
29,32
29,40
29,43
29,45
29,57
29,58
29,62
29,72
29,75
29,83
29,89
29,90
29,91
29,98
30,31
30,32
30,37
30,38
30,41
30,46
30,51
30,56
30,61
30,64
30,69
30,70
30,72
30,78
30,79
30,82
30,83
30,85
30,89
30,97
31,32
31,46
31,47
31,48
31,53
31,54
31,60
31,67
31,68
31,70
31,73
31,78
31,81
31,92
31,95
31,98
32,35
32,38
32,41
32,48
32,53
32,54
32,57
32,60
32,61
32,65
32,69
32,71
32,77
32,78
32,79
32,85
32,86
32,88
32,94
33,34
33,35
33,52
33,61
33,63
33,66
33,68
33,73
33,75
33,79
33,86
33,90
33,94
33,95
34,36
34,42
34,49
34,52
34,53
34,54
34,57
34,69
34,70
34,71
34,74
34,82
34,84
34,88
34,89
34,90
34,94
34,97
35,37
35,39
35,41
35,44
35,53
35,56
35,57
35,61
35,62
35,64
35,66
35,69
35,71
35,73
35,76
35,81
35,85
35,88
35,91
35,94
36,37
36,49
36,54
36,58
36,59
36,63
36,69
36,72
36,74
36,77
36,81
36,87
36,88
36,90
36,91
36,95
37,43
37,49
37,52
37,56
37,58
37,59
37,65
37,69
37,72
37,73
37,74
37,78
37,85
37,95
37,97
38,46
38,59
38,61
38,65
38,74
38,79
38,80
38,86
38,92
38,96
38,97
39,42
39,46
39,47
39,48
39,51
39,64
39,71
39,75
39,83
39,85
39,86
39,89
39,92
39,94
39,99
40,44
40,48
40,50
40,51
40,52
40,53
40,57
40,58
40,62
40,64
40,69
40,70
40,73
40,78
40,82
40,83
40,88
40,90
40,91
41,45
41,46
41,50
41,51
41,52
41,59
41,60
41,62
41,64
41,65
41,69
41,72
41,77
41,80
41,91
41,92
41,93
41,95
41,99
42,54
42,65
42,72
42,77
42,82
42,83
42,85
42,93
43,50
43,52
43,59
43,61
43,62
43,63
43,68
43,78
43,81
43,82
43,89
43,91
43,92
43,95
43,96
44,45
44,46
44,49
44,58
44,60
44,61
44,62
44,71
44,72
44,78
44,81
44,84
44,90
44,97
44,98
45,47
45,54
45,61
45,62
45,65
45,73
45,74
45,76
45,78
45,81
45,86
45,88
45,89
45,95
46,47
46,49
46,53
46,56
46,59
46,64
46,66
46,68
46,76
46,81
46,87
46,93
46,94
46,96
47,50
47,54
47,55
47,58
47,60
47,62
47,65
47,73
47,74
47,82
47,90
47,93
47,96
47,98
48,51
48,59
48,61
48,62
48,63
48,70
48,76
48,79
48,81
48,90
48,94
48,98
49,50
49,53
49,57
49,59
49,61
49,62
49,68
49,70
49,72
49,80
49,83
49,84
49,90
49,92
49,97
49,98
50,52
50,58
50,64
50,71
50,79
50,81
50,84
50,85
50,86
50,91
51,65
51,66
51,74
51,76
51,81
51,87
51,88
51,93
51,97
52,55
52,57
52,59
52,62
52,64
52,66
52,84
52,86
52,95
53,60
53,61
53,69
53,70
53,73
53,77
53,79
53,86
53,95
53,97
54,55
54,60
54,65
54,71
54,73
54,75
54,76
54,78
54,87
54,92
54,96
54,98
55,58
55,62
55,64
55,66
55,68
55,73
55,74
55,75
55,78
55,84
55,90
55,98
55,99
56,72
56,76
56,77
56,82
56,83
56,87
56,96
57,63
57,68
57,74
57,80
57,84
57,88
57,89
58,59
58,61
58,63
58,66
58,80
58,81
58,86
58,87
58,90
59,63
59,71
59,73
59,76
59,79
59,80
59,83
59,85
59,87
59,99
60,62
60,64
60,68
60,87
60,90
60,92
60,93
60,94
60,96
61,63
61,64
61,65
61,68
61,69
61,71
61,83
61,84
61,85
61,94
62,66
62,67
62,77
62,83
62,84
62,88
62,89
62,93
62,97
62,99
63,67
63,69
63,80
63,89
63,92
63,94
63,98
63,99
64,71
64,75
64,76
64,87
64,88
64,97
64,99
65,77
65,84
65,88
65,91
65,93
65,97
66,68
66,72
66,75
66,84
66,85
66,90
66,94
66,95
67,72
67,74
67,76
67,83
67,95
67,96
68,70
68,71
68,82
68,94
68,99
69,72
69,74
69,76
69,77
69,82
69,84
69,85
69,93
69,96
69,97
69,99
70,76
70,79
70,82
70,83
70,95
71,74
71,78
71,89
71,91
71,93
71,94
71,97
71,98
72,73
72,79
72,82
72,84
72,89
72,95
72,99
73,75
73,83
73,87
73,90
73,91
73,94
73,97
74,76
74,79
74,84
74,86
74,94
74,96
75,79
75,80
